Name,Availability,Maxed Out Rank,Maxed Out Grade,Maxed Out # Grade,Maxed Out Score,Yellows Rank,Yellows Grade,Yellows # Grade,Yellows Score,Orange Rank,Orange Grade,Orange # Grade,Orange Score,Purple Rank,Purple Grade,Purple # Grade,Purple Score
Gilgamesh,N,01,A+,100.00,946,01,A+,100.00,482,001,A+,100.00,278,001,A+,100.00,264
Empress Dowager Cixi,Y,03,B-,76.30,722,02,B-,79.00,381,002,B+,87.40,243,002,B+,86.00,227
Nero,Y,04,C+,74.70,707,03,C+,75.10,362,003,B,80.60,224,003,B-,78.80,208
Harald,Y,12,C-,63.70,603,05,C-,66.40,320,004,B,79.90,222,004,B-,78.80,208
Nordic Barbarian King,N,02,B+,84.40,798,07,C-,62.70,302,005,B-,78.80,219,005,B-,77.70,205
David Farragut,N,11,C-,64.50,610,12,D+,56.60,273,006,B-,76.60,213,006,C+,75.40,199
Darius I,N,05,C+,74.60,706,08,C-,62.20,300,007,C,69.80,194,007,C,71.20,188
Suleiman the Magnificent,Y,18,D-,38.70,366,10,D+,58.70,283,008,C,68.30,190,009,C-,67.00,177
Cnut the Great,N,07,C+,74.30,703,09,D+,60.80,293,011,C-,62.20,173,010,C-,62.50,165
Yeon Gaesomun,N,08,C+,72.30,684,15,D,50.00,241,010,C-,62.90,175,011,D+,61.00,161
Mansa Musa,Y,14,D+,59.70,565,06,C-,65.60,316,012,D+,59.70,166,012,D+,59.80,158
Mark Antony,N,13,C-,62.80,594,16,D,47.10,227,014,D+,58.30,162,013,D+,59.10,156
Amr ibn al-As,N,06,C+,74.40,704,14,D+,55.00,265,013,D+,59.00,164,014,D+,56.80,150
Robert Guiscard,Y,21,D-,19.20,182,20,D-,33.80,163,016,D+,54.00,150,015,D+,56.10,148
Arminius,Y,15,D,50.00,473,13,D+,55.20,266,015,D+,55.00,153,016,D+,55.30,146
Flavius Aetius,N,16,D,46.60,441,17,D,45.20,218,018,D,52.50,146,017,D,53.00,140
Andrew Jackson,Y,17,D-,39.40,373,19,D-,36.90,178,019,D,52.20,145,018,D,52.30,138
Gustavus Adolphus,Y,22,D-,22.00,208,23,D-,29.70,143,020,D,49.30,137,019,D,51.50,136
Mehmed II,Y,19,D-,27.80,263,21,D-,30.50,147,021,D,48.60,135,020,D,50.80,134
Honda Tadakatsu,Y,20,D-,26.60,252,18,D-,38.00,183,017,D,52.90,147,021,D,50.40,133
Edward the Black Prince,Y,21,D-,23.50,222,22,D-,29.70,143,022,D,43.50,121,022,D,43.60,115
Jan Karol Chodkiewicz,N,09,C,70.4,667,04,C-,66.5,322,100,Not Scored,Not Scored,Not Scored,100,Not Scored,Not Scored,Not Scored
Hojo Huiyasu,N,10,C-,67.4,639,11,D+,57.4,278,009,C-,67.0,187,008,C,68.2,180
